cod_unid_oper,cod_clinica,cod_veterinario,cod_proprietario,cod_animal,nom_animal,cod_especie,nom_especie,cod_raca,nom_raca,cod_pelagem,pel,desc_pelagem,ind_ani_silvestre,dth_aniversario,ind_sexo,nro_micro_chip,nro_rg_animal,id_tatuagem,peso_animal,ind_porte,ind_pedigree,ind_castrado,ind_alergico,ind_ctrl_vacina,cod_antigo,nro_registro,ind_obito,dth_obito,ind_doacao,tip_pelagem,cod_anim_solic,ind_doenca_cronica,txt_alergia,txt_doenca_cronica,obs_animal,usr_codigo,ind_excluido,dth_exclusao,dth_cadastro,dat_ult_visita
1,2,13416,13063.0,21517,ACEROLA,1,CANINA,2,SRD CANINO,272.0,"(272,CINZA)",CINZA,N,2020-03-25,M,,,,14.7,P,,S,,S,,,N,,N,M,,,,,,,,,2021-03-25,2022-08-11
1,2,4,2708.0,5780,ACHA,1,CANINA,90,NAO REFERIDO,467.0,"(467,PRETA/BRANCA)",PRETA/BRANCA,N,2004-07-23,F,,,,0.0,P,N,N,N,N,5780.0,,S,2021-06-05 09:48:36.379,N,,,,,,,,N,,2011-03-21,2010-12-01
1,2,4,334.0,461,ACHADA,1,CANINA,90,NAO REFERIDO,553.0,"(553,TIGRADA)",TIGRADA,N,1999-06-29,F,,7 681 807 - X,,0.0,P,N,N,N,N,461.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,7,8095.0,13207,ACHADO,2,FELINA,3,SRD FELINO,183.0,"(183,""BRANCO E MARROM"")",BRANCO E MARROM,N,2010-04-24,M,,,,,P,,N,,,,,N,,N, ,,,,,,,,,2013-04-24,
1,2,7,1391.0,16815,ACHADO,1,CANINA,10,POODLE,0.0,,,N,2011-05-06,M,,,,,,,N,,,,,S,2016-05-06 15:52:42.000,N, ,,,,,,,,,2016-05-06,
1,2,4,3021.0,6462,ACHADO,1,CANINA,82,BASSET HOUND,566.0,"(566,TRICOLOR)",TRICOLOR,N,2004-04-04,M,,,,0.0,P,N,N,N,N,6462.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,3183.0,4423,ACHADO,1,CANINA,90,NAO REFERIDO,418.0,"(418,PRETA)",PRETA,N,2003-11-24,M,,,,0.0,P,N,N,N,N,4423.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,12725.0,10085,ACHADO,2,FELINA,11,SIAMES,231.0,"(231,CARACTERISTICA)",CARACTERISTICA,N,2009-03-01,M,,1,,0.0,P,N,N,N,N,10083.0,,N,,N,,,,,,,,N,,2011-03-21,2010-03-31
1,2,8058,8133.0,13430,ADA,1,CANINA,59,SHIH-TZU,399.0,"(399,PARTICOLOR)",PARTICOLOR,N,2012-09-11,F,,,,3.1,P,,N,,,,,N,,N, ,,,,,,,,,2013-07-11,
1,2,11913,8925.0,22057,ADALBERTO,1,CANINA,2,SRD CANINO,195.0,"(195,BRANCO/CINZA)",BRANCO/CINZA,N,2020-01-14,M,,,,6.4,M,,N,,S,,,N,,N, ,,,,,,,,,2022-01-14,2022-09-01
1,2,7,8243.0,13485,ADAM,2,FELINA,3,SRD FELINO,392.0,"(392,""MEST. SIAMES"")",MEST. SIAMES,N,2013-01-15,M,,,,4.0,P,,N,,,,,N,,N, ,,,,,,,,,2013-07-29,
1,2,9344,10309.0,17077,ADAMASTOR,1,CANINA,85,PUG,1.0,"(1,ABRICOT)",ABRICOT,N,2014-10-17,M,,,,8.6,M,,S,,,,,N,,N, ,,,,,,,,,2016-08-12,
1,2,8,5539.0,16048,ADIRSON,1,CANINA,16,PINSCHER,351.0,"(351,MARROM)",MARROM,N,2003-09-25,M,,,,3.7,P,,N,,,,,S,2017-02-03 18:18:46.000,N, ,,,,,,,,,2015-09-25,
1,2,4,1112.0,1328,ADMA,1,CANINA,90,NAO REFERIDO,418.0,"(418,PRETA)",PRETA,N,2001-04-06,F,,,,0.0,P,N,N,N,N,1328.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,7,10192.0,16849,ADOLFO,1,CANINA,2,SRD CANINO,0.0,,,N,2011-05-17,M,,,,9.9,M,,N,,S,,,N,,N, ,,,,,,,,,2016-05-17,
1,2,8,10108.0,16699,ADONIAS,2,FELINA,3,SRD FELINO,21.0,"(21,AMARELO)",AMARELO,N,2004-04-02,M,,,,,P,,S,,,,,N,,N, ,,,,,,,,,2016-04-02,
1,2,12300,12765.0,21083,ADONIS,2,FELINA,3,SRD FELINO,485.0,"(485,PRETO)",PRETO,N,2020-07-16,M,,,,7.0,P,,S,,S,,,N,,N,C,,,,,,,,,2020-10-16,2021-12-24
1,2,9344,1986.0,16779,ADOTADA,2,FELINA,3,SRD FELINO,10.0,"(10,AMARELA)",AMARELA,N,2014-04-25,F,,,,,P,,N,,,,,N,,N, ,,,,,,,,,2016-04-25,
1,2,4,1030.0,2965,ADRE,2,FELINA,90,NAO REFERIDO,467.0,"(467,PRETA/BRANCA)",PRETA/BRANCA,N,1994-12-04,M,,,,0.0,P,N,N,N,N,2965.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,8,10618.0,17563,ADRIELLY,2,FELINA,11,SIAMES,226.0,"(226,CARACTERISTICA)",CARACTERISTICA,N,2013-10-02,F,,,,3.7,P,,S,,S,,,N,,N, ,,,,,,,,,2017-02-06,
1,2,4,621.0,721,ADULTOS,2,FELINA,90,NAO REFERIDO,,,,N,2000-10-24,M,,,,0.0,P,N,N,N,N,721.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,8058,10124.0,16726,AELEN,1,CANINA,2,SRD CANINO,356.0,"(356,""MARROM /PRETO"")",MARROM /PRETO,N,2016-03-23,F,,,,,P,,N,,,,,N,,N, ,,,,,,,,,2016-04-09,
1,2,10738,4949.0,9389,AEROLITO,2,FELINA,90,NAO REFERIDO,467.0,"(467,PRETA/BRANCA)",PRETA/BRANCA,N,2007-07-08,M,,44804039,,5.4,P,N,N,N,S,9389.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,2762.0,3719,AFRODITE,2,FELINA,90,NAO REFERIDO,82.0,"(82,BICOLOR)",BICOLOR,N,2003-04-23,F,,,,0.0,P,N,N,N,N,3719.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,11913,4043.0,21109,AGARRADINHO,18,ROEDOR,146,HAMSTER,492.0,"(492,""PRETO E BRANCO"")",PRETO E BRANCO,N,2020-09-22,M,,,,,P,,,,,,,N,,N,C,,,,,,,,,2020-10-22,
1,2,8672,9221.0,15190,AGATA,2,FELINA,3,SRD FELINO,0.0,,,N,2014-01-06,F,,,,1.5,,,S,,,,,N,,N,C,,,,,,,,,2015-01-06,
1,2,10652,5293.0,19783,AGATA,2,FELINA,3,SRD FELINO,0.0,,,N,2016-06-14,F,,,,,P,,N,,S,,,N,,N, ,,,,,,,,,2019-06-14,
1,2,4,2905.0,3970,AGATA,2,FELINA,90,NAO REFERIDO,327.0,"(327,""ESCAMA BRANCA"")",ESCAMA BRANCA,N,2000-10-01,F,,,,0.0,P,N,N,N,N,3970.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,4093.0,6998,AGATA,2,FELINA,90,NAO REFERIDO,418.0,"(418,PRETA)",PRETA,N,2005-11-20,F,,,,0.0,P,N,N,N,N,6998.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,1345.0,1757,AGATA,2,FELINA,11,SIAMES,231.0,"(231,CARACTERISTICA)",CARACTERISTICA,N,1992-12-04,F,,,,0.0,P,N,N,N,N,1757.0,,S,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12210,13392.0,21955,AGATA,2,FELINA,3,SRD FELINO,0.0,,,N,2020-11-13,F,,,,3.9,,,N,,S,,,N,,N, ,,,,,,,,,2021-11-13,2022-03-05
1,2,11479,12123.0,20549,AGATHA,2,FELINA,3,SRD FELINO,0.0,,,N,2005-10-28,F,,,,6.9,,,S,,,,,N,,N, ,,,,,,,,,2020-04-05,
1,2,10738,1753.0,20038,AGATHA,2,FELINA,3,SRD FELINO,0.0,,,N,2019-03-28,F,,,,2.6,,,N,,,,,N,,N, ,,,,,,,,,2019-09-28,
1,2,4,11756.0,8804,AGATHA,1,CANINA,10,POODLE,418.0,"(418,PRETA)",PRETA,N,1996-11-04,F,,,,0.0,P,N,N,N,N,8804.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,2302.0,3011,AGATHA,1,CANINA,13,COCKER SPANIEL,418.0,"(418,PRETA)",PRETA,N,1998-12-06,F,,,,0.0,P,N,N,N,N,3011.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,5,5216.0,8681,AGATHA,2,FELINA,50,PERSA,552.0,"(552,TABBY)",TABBY,N,2008-02-16,F,,,,3.2,P,N,N,N,N,8681.0,,S,2013-06-24 10:33:48.438,N,,,,,,,,N,,2011-03-21,2010-01-19
1,2,4,5307.0,8553,AGATHA,1,CANINA,90,NAO REFERIDO,390.0,"(390,MESCLADA)",MESCLADA,N,1995-07-21,F,,,,0.0,P,N,N,N,N,8553.0,,S,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,8,10904.0,18907,AGATHA,2,FELINA,3,SRD FELINO,429.0,"(429,""PRETA BRANCA"")",PRETA BRANCA,N,2015-01-17,F,,,,4.3,,,S,,,,,N,,N,C,,,,,,,,,2018-07-17,
1,2,4,3680.0,5311,AGATHA,2,FELINA,90,NAO REFERIDO,326.0,"(326,ESCAMA)",ESCAMA,N,1998-01-17,F,,,,0.0,P,N,N,N,N,5311.0,,S,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,247.0,368,AGATHA,1,CANINA,27,ROTTWEILER,95.0,"(95,""BLACK AND TAN"")",BLACK AND TAN,N,1999-12-04,F,,,,0.0,P,N,N,N,N,362.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,5770.0,9580,AGATHA,2,FELINA,90,NAO REFERIDO,111.0,"(111,BRANCA)",BRANCA,N,1989-09-09,F,,6803881-1,,0.0,P,N,N,N,N,9580.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,11226,11547.0,19111,AGATHA,1,CANINA,27,ROTTWEILER,439.0,"(439,""PRETA E CANELA"")",PRETA E CANELA,N,2003-10-08,F,,,,,X,,N,,,,,N,,N, ,,,,,,,,,2018-10-08,
1,2,4,203.0,8505,AGATHA,1,CANINA,90,NAO REFERIDO,104.0,"(104,BLUE)",BLUE,N,2008-05-25,F,,,,0.0,P,N,N,N,N,8505.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,7445.0,12127,AGATHA,1,CANINA,36,LABRADOR RETRIEVER,310.0,"(310,DOURADA)",DOURADA,N,2002-12-25,F,,,,29.1,G,,S,,,,,N,,N,,,,,,,,,,2012-03-30,
1,2,4,4857.0,7634,AGATHA,1,CANINA,48,PIT BULL,351.0,"(351,MARROM)",MARROM,N,2007-02-10,F,,,,0.0,P,N,N,N,N,7634.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,7,7460.0,12020,AGATHA,2,FELINA,3,SRD FELINO,566.0,"(566,TRICOLOR)",TRICOLOR,N,2011-12-17,F,,,,1.1,P,,N,,,,,N,,N,,,,,,,,,,2012-02-17,
1,2,4,1331.0,6478,AGATHA,2,FELINA,50,PERSA,326.0,"(326,ESCAMA)",ESCAMA,N,2005-12-27,F,,,,0.0,P,N,N,N,N,6478.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,5550.0,9104,AGATHA,1,CANINA,22,SCHNAUZER MÉDIO,536.0,"(536,""SAL E PIMENTA"")",SAL E PIMENTA,N,2009-03-04,F,,13287954,,0.0,P,N,N,N,N,9104.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,11980,8532.0,19812,AGNES,1,CANINA,44,YORKSHIRE TERRIER,0.0,,,N,2018-06-22,F,,,,3.3,,,N,,S,,,N,,N, ,,,,,,,,,2019-06-22,
1,2,7,8207.0,13429,AGOSTINHO,1,CANINA,42,LHASA APSO,197.0,"(197,BRANCO/PRETO)",BRANCO/PRETO,N,2013-05-06,M,,,,2.6,P,,N,,,,,N,,N, ,,,,,,,,,2013-07-11,
1,2,4,6797.0,11128,AGOSTINHO,2,FELINA,3,SRD FELINO,492.0,"(492,""PRETO E BRANCO"")",PRETO E BRANCO,N,2010-07-26,M,,,,3.9,P,N,N,N,S,,,N,,N,,,,,,,,,,2011-03-24,
1,2,8790,6462.0,16773,AGRIPINO,2,FELINA,3,SRD FELINO,485.0,"(485,PRETO)",PRETO,N,2011-05-15,M,,,,4.4,P,,S,S,S,,,N,,N,C,,,,,,,,,2016-04-20,
1,2,9344,5898.0,12370,AIBELYN,1,CANINA,29,GOLDEN RETRIEVER,310.0,"(310,DOURADA)",DOURADA,N,2012-02-11,F,,,,26.1,G,,N,,S,,,N,,N,,,,,,,,,,2012-06-29,
1,2,11913,12371.0,21307,AICA,1,CANINA,48,PIT BULL,0.0,,,N,2004-12-30,F,,,,23.2,,,S,,,,,N,,N, ,,,,,,,,,2020-12-30,
1,2,12300,2246.0,16678,AIDA,1,CANINA,2,SRD CANINO,452.0,"(452,""PRETA/ BRANCA"")",PRETA/ BRANCA,N,2013-01-14,F,,,,32.3,M,,S,,S,,,N,,N, ,,,,,,,,,2016-03-26,2022-07-08
1,2,4,3004.0,4114,AIGA,1,CANINA,13,COCKER SPANIEL,310.0,"(310,DOURADA)",DOURADA,N,1998-11-23,F,,,,0.0,P,N,N,N,N,4129.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,11479,2140.0,20224,AIKA,1,CANINA,84,SHIBA-INU,114.0,"(114,""BRANCA / CARAMELO"")",BRANCA / CARAMELO,N,2019-08-01,F,,,,7.0,P,,S,,,,,N,,N,C,,,,,,,,,2019-12-09,
1,2,4,1147.0,1386,AIKA,1,CANINA,5,BOXER,377.0,"(377,MARROM/BRANCA)",MARROM/BRANCA,N,2001-05-16,F,,,,0.0,P,N,N,N,N,1379.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,4986.0,7883,AIKA,1,CANINA,48,PIT BULL,351.0,"(351,MARROM)",MARROM,N,2006-10-03,F,,,,0.0,P,N,N,N,N,7883.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,11756.0,10931,AIKO,1,CANINA,90,NAO REFERIDO,242.0,"(242,""CARAMELO / BRANCA"")",CARAMELO / BRANCA,N,1899-12-30,M,,23.246.316-5,,21.5,M,N,N,N,N,10927.0,,N,,N,,,,,,,,N,,2011-03-21,2011-01-14
1,2,4,5820.0,9700,AIKO,1,CANINA,40,AKITA,10.0,"(10,AMARELA)",AMARELA,N,2003-03-05,F,,24122259,,30.0,G,N,N,N,S,9700.0,,N,,N,,,,,,,,N,,2011-03-21,2010-04-19
1,2,8790,11756.0,16884,AILA,1,CANINA,30,MALTES,111.0,"(111,BRANCA)",BRANCA,N,2013-06-02,F,,,,2.0,P,,S,,,,,N,,N, ,,,,,,,,,2016-06-02,2022-06-22
1,2,11913,11756.0,22362,AILA,1,CANINA,30,MALTES,111.0,"(111,BRANCA)",BRANCA,N,2012-07-12,F,,,,2.1,P,,S,,,,,N,,N,C,,,,,,,,,2022-06-22,2022-06-22
1,2,7,7362.0,12237,AILTON,1,CANINA,10,POODLE,111.0,"(111,BRANCA)",BRANCA,N,2005-05-14,M,,,,4.5,P,,N,,,,,N,,N,,,,,,,,,,2012-05-14,
1,2,4,166.0,149,AINSTEN,1,CANINA,90,NAO REFERIDO,351.0,"(351,MARROM)",MARROM,N,1997-01-04,M,,15.330.678,,0.0,P,N,N,N,N,149.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,10738,12131.0,20115,AIRA,1,CANINA,2,SRD CANINO,418.0,"(418,PRETA)",PRETA,N,2019-06-03,F,,,,16.5,G,,N,,,,,N,,N, ,,,,,,,,,2019-11-03,
1,2,9344,3337.0,4670,AIRAN,1,CANINA,31,CHOW CHOW,310.0,"(310,DOURADA)",DOURADA,N,2003-04-01,M,,,,17.8,G,N,N,N,N,4670.0,,S,2016-10-25 12:31:22.000,N,,,,,,,,N,,2011-03-21,2010-09-14
1,2,7564,13074.0,21532,AIRES,2,FELINA,3,SRD FELINO,522.0,"(522,RAJADO)",RAJADO,N,2017-04-02,M,,,,4.4,P,,N,,,,,N,,N, ,,,,,,,,,2021-04-02,2021-04-29
1,2,11913,8531.0,13993,AIRON,1,CANINA,44,YORKSHIRE TERRIER,410.0,"(410,PRATA/CANELA)",PRATA/CANELA,N,2013-06-28,M,,,,6.6,P,, ,,S,,,S,2020-05-14 08:49:29.000,N, ,,,,,,,,,2013-12-31,
1,2,10258,11037.0,18696,AIRON,1,CANINA,48,PIT BULL,119.0,"(119,""BRANCA / MARROM"")",BRANCA / MARROM,N,2017-07-16,M,,,,22.7,M,,N,,,,,N,,N, ,,,,,,,,,2018-04-16,
1,2,8,8305.0,13587,AIRON,1,CANINA,48,PIT BULL,241.0,"(241,CARAMELO)",CARAMELO,N,2000-09-12,M,,,,32.3,G,,N,,,,,N,,N, ,,,,,,,,,2013-08-29,
1,2,9344,658.0,19280,AIRON,1,CANINA,2,SRD CANINO,142.0,"(142,BRANCA-MARROM)",BRANCA-MARROM,N,2018-11-10,M,,,,1.1,,,N,,,,,N,,N,C,,,,,,,,,2018-12-10,
1,2,4,1302.0,2685,AISCA,2,FELINA,90,NAO REFERIDO,326.0,"(326,ESCAMA)",ESCAMA,N,1999-01-01,F,,,,0.0,P,N,N,N,N,2685.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12300,7773.0,12599,AISHA,1,CANINA,42,LHASA APSO,399.0,"(399,PARTICOLOR)",PARTICOLOR,N,2012-06-14,F,,,,9.1,P,,S,,S,,,N,,N, ,,,,,,,,,2012-09-15,2022-09-13
1,2,4,2739.0,11895,AISHA,1,CANINA,2,SRD CANINO,467.0,"(467,PRETA/BRANCA)",PRETA/BRANCA,N,2011-10-07,F,,,,8.5,P,,N,,,,,N,,N,,,,,,,,,,2012-01-07,
1,2,10258,3266.0,17440,AISHA,1,CANINA,24,PASTOR ALEMAO,238.0,"(238,CARACTERSTICA)",CARACTERSTICA,N,2013-07-02,F,,,,48.0,G,,S,,,,,N,,N, ,,,,,,,,,2017-01-02,
1,2,4,4614.0,7432,AISHA,1,CANINA,90,NAO REFERIDO,470.0,"(470,PRETA/CANELA)",PRETA/CANELA,N,2004-04-16,F,,,,0.0,P,N,N,N,N,7432.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,8,11208.0,18550,AISHA,1,CANINA,59,SHIH-TZU,170.0,"(170,BRANCA/PRETO)",BRANCA/PRETO,N,2016-01-12,F,,,,5.8,P,,S,,,,,N,,N, ,,,,,,,,,2018-02-19,
1,2,10738,4639.0,17117,AISHA,1,CANINA,86,LULU DA POMERANIA,310.0,"(310,DOURADA)",DOURADA,N,2015-10-17,F,,,,3.0,P,,S,,,,,N,,N, ,,,,,,,,,2016-08-29,
1,2,4,1672.0,3434,AISHILA,1,CANINA,90,NAO REFERIDO,65.0,"(65,BEGE)",BEGE,N,2002-10-12,F,,,,0.0,P,N,N,N,N,3465.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,4903.0,7719,AITE,1,CANINA,40,AKITA,111.0,"(111,BRANCA)",BRANCA,N,1995-10-20,M,,,,0.0,P,N,N,N,N,7719.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,575.0,748,AIUNY,1,CANINA,10,POODLE,418.0,"(418,PRETA)",PRETA,N,2000-06-14,F,,,,0.0,P,N,N,N,N,743.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,4,4360.0,9306,AIWKA,1,CANINA,44,YORKSHIRE TERRIER,470.0,"(470,PRETA/CANELA)",PRETA/CANELA,N,2004-05-28,F,,,,0.0,P,N,N,N,N,9306.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,10738,7686.0,19415,AJUDANTE,1,CANINA,2,SRD CANINO,0.0,,,N,2018-01-25,M,,,,10.3,,,N,,,,,N,,N, ,,,,,,,,,2019-01-25,
1,2,4,4884.0,7675,AKAIA,1,CANINA,48,PIT BULL,377.0,"(377,MARROM/BRANCA)",MARROM/BRANCA,N,2005-11-01,F,,5.237.805-6,,0.0,P,N,N,N,N,7675.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12210,12761.0,21070,AKANE,1,CANINA,84,SHIBA-INU,575.0,"(575,VERMELHA)",VERMELHA,N,2019-10-29,F,,,,11.4,P,,N,,,,,N,,N, ,,,,,,,,,2020-10-10,
1,2,4,2739.0,3672,AKASHA,1,CANINA,90,NAO REFERIDO,566.0,"(566,TRICOLOR)",TRICOLOR,N,2003-05-21,F,,,,0.0,P,N,N,N,N,3672.0,,N,,N,,,,,,,,N,,2011-03-21,1899-12-30
1,2,12210,12347.0,21403,AKIRA,1,CANINA,162,SPITZ ALEMÃO,0.0,,,N,2020-11-05,F,,,,2.2,,,N,,S,,,N,,N, ,,,,,,,,,2021-02-05,2021-05-31
